Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
P12023,P12023;Q06335,A4_MOUSE,App,Amyloid-beta precursor protein,23261.4,14977.4,16555.9,12851.1,15588.7,12238,15192.4,13963.4
P12025,P12025,MK_MOUSE,Mdk,Midkine,,,,,,1990.03,,
P12246,P12246,SAMP_MOUSE,Apcs,Serum amyloid P-component,83636,76730.9,72675.1,77276.8,79390.2,65834.6,81266.6,82822.4
P12265,P12265,BGLR_MOUSE,Gusb,Beta-glucuronidase,114473,113286,144390,117839,126246,96638.1,134738,127179
P12367,P12367,KAP2_MOUSE,Prkar2a,cAMP-dependent protein kinase type II-alpha regulatory subunit,195578,194012,174098,175567,189502,205222,189649,203618
P12382,P12382,PFKAL_MOUSE,Pfkl,"ATP-dependent 6-phosphofructokinase, liver type",118417,159362,177419,153286,182522,186680,187866,168099
P12382;P47857,P12382;P47857,PFKAL_MOUSE;PFKAM_MOUSE,Pfkl;Pfkm,"ATP-dependent 6-phosphofructokinase, liver type",264648,251020,287095,306855,290271,300249,273126,286939
P12382;P47857;Q9WUA3,P12382;P47857;Q9WUA3,PFKAL_MOUSE;PFKAM_MOUSE;PFKAP_MOUSE,Pfkl;Pfkm;Pfkp,"ATP-dependent 6-phosphofructokinase, liver type",645666,632590,606717,583708,647590,495521,558490,643387
P12382;Q9WUA3,P12382;Q9WUA3,PFKAL_MOUSE;PFKAP_MOUSE,Pfkl;Pfkp,"ATP-dependent 6-phosphofructokinase, liver type",7587.61,7451.27,5674.35,6453,6075.71,3358.96,9037.4,8158.04
P12658,P12658,CALB1_MOUSE,Calb1,Calbindin,,,9082.56,,8723.46,11226.2,,8141.17
P12658;Q08331,P12658;Q08331,CALB1_MOUSE;CALB2_MOUSE,Calb1;Calb2,Calbindin,,11526.6,17500.3,19859,7685.55,9794.12,,11202.3
P12710,P12710,FABPL_MOUSE,Fabp1,"Fatty acid-binding protein, liver",2.45E+07,6.54E+07,7.17E+07,4.34E+07,7.42E+07,8.62E+07,4.86E+07,7.43E+07
P12787,P12787,COX5A_MOUSE,Cox5a,"Cytochrome c oxidase subunit 5A, mitochondrial",145435,172645,183572,159400,192735,263278,176277,170653
P12790,P12790,CP2B9_MOUSE,Cyp2b9,Cytochrome P450 2B9,1.26E+06,1.80E+06,1.98E+06,1.59E+06,1.96E+06,1.97E+06,2.09E+06,1.92E+06
P12790;P12791,P12790;P12791,CP2B9_MOUSE;CP2BA_MOUSE,Cyp2b10;Cyp2b9,Cytochrome P450 2B9,891763,1.54E+06,1.72E+06,1.67E+06,1.79E+06,2.05E+06,2.06E+06,1.69E+06
P12791,P12791,CP2BA_MOUSE,Cyp2b10,Cytochrome P450 2B10,2.07E+06,2.24E+06,2.41E+06,2.19E+06,2.54E+06,2.29E+06,2.56E+06,2.30E+06
P12815,P12815,PDCD6_MOUSE,Pdcd6,Programmed cell death protein 6,11969.8,10063.9,9608.26,10967,12688.4,14368.5,14967.3,11821.3
P12849;Q9DBC7,P12849;Q9DBC7,KAP0_MOUSE;KAP1_MOUSE,Prkar1a;Prkar1b,cAMP-dependent protein kinase type I-beta regulatory subunit,23726.9,20467.5,23959.5,22622.9,21326.8,21791.5,25003.1,22759.3
P12970,P12970,RL7A_MOUSE,Rpl7a,Large ribosomal subunit protein eL8,139740,214382,185158,169215,183088,212463,163170,235447
P13020,P13020,GELS_MOUSE,Gsn,Gelsolin,123529,144984,132182,129130,134151,144362,155612,155774
P13412,P13412,TNNI2_MOUSE,Tnni2,"Troponin I, fast skeletal muscle",3492.9,43591.9,,13090.6,,5752.21,92218.6,3029.9
P13439,P13439,UMPS_MOUSE,Umps,Uridine 5'-monophosphate synthase,62070.7,65520.6,61948,61014.1,64916.4,70505.5,70183.8,60643.4
P13516,P13516,ACOD1_MOUSE,Scd1,Acyl-CoA desaturase 1,102190,175232,174153,148564,212100,230629,205752,214576
P13541;P13542;Q02566;Q5SX40;Q91Z83,P13541;P13542;Q02566;Q5SX39;Q5SX40;Q91Z83,MYH1_MOUSE;MYH3_MOUSE;MYH6_MOUSE;MYH7_MOUSE;MYH8_MOUSE,Myh1;Myh3;Myh6;Myh7;Myh8,Myosin-3,48993.5,42614.8,40694.6,47400.3,42528.4,,,59445.4
P13595,P13595,NCAM1_MOUSE,Ncam1,Neural cell adhesion molecule 1,9027.08,12794.8,8579.05,12288.8,9064.75,7703.38,8473.46,10190.7
P13597,P13597,ICAM1_MOUSE,Icam1,Intercellular adhesion molecule 1,138746,165992,169579,179223,153479,145388,160988,192731
P13634,P13634,CAH1_MOUSE,Ca1,Carbonic anhydrase 1,471960,493118,462956,448939,474766,416479,453526,485887
P13707,P13707,GPDA_MOUSE,Gpd1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",1.91E+06,2.08E+06,1.93E+06,1.86E+06,1.99E+06,2.10E+06,1.93E+06,1.98E+06
P13707;Q3ULJ0,P13707;Q3ULJ0,GPD1L_MOUSE;GPDA_MOUSE,Gpd1;Gpd1l,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",15514.8,17105.7,28040.3,29964.5,16614.1,19749.4,24212,17700.3
P13808,P13808,B3A2_MOUSE,Slc4a2,Anion exchange protein 2,5621.03,9620.66,10686.7,7377.62,8910.43,8920.5,9666.88,12327.9
P13864,P13864,DNMT1_MOUSE,Dnmt1,DNA (cytosine-5)-methyltransferase 1,,5692.57,7128.46,,9377.35,7949.77,8889.82,5772.56
P14069,P14069,S10A6_MOUSE,S100a6,Protein S100-A6,105422,124416,137211,90560.6,151370,134222,147113,140873
P14094,P14094,AT1B1_MOUSE,Atp1b1,Sodium/potassium-transporting ATPase subunit beta-1,115811,288330,356388,257706,265712,323983,283747,350769
P14106,P14106,C1QB_MOUSE,C1qb,Complement C1q subcomponent subunit B,12947.8,,19151.1,,14106.6,14605.6,10422.5,13399.1
P14115,P14115,RL27A_MOUSE,Rpl27a,Large ribosomal subunit protein uL15,144173,227647,194751,201104,199199,236085,199717,210746
P14131,P14131,RS16_MOUSE,Rps16,Small ribosomal subunit protein uS9,119715,137071,142569,121936,149194,156969,149192,161963
P14148,P14148,RL7_MOUSE,Rpl7,Large ribosomal subunit protein uL30,103051,147709,133506,131763,136174,161797,146172,156504
P14152,P14152,MDHC_MOUSE,Mdh1,"Malate dehydrogenase, cytoplasmic",2.28E+07,2.42E+07,2.26E+07,2.28E+07,2.46E+07,2.06E+07,2.24E+07,2.22E+07
P14206,P14206,RSSA_MOUSE,Rpsa,Small ribosomal subunit protein uS2,664841,794976,716024,748920,688042,768799,679955,772689
P14211,P14211,CALR_MOUSE,Calr,Calreticulin,2.39E+06,2.81E+06,3.13E+06,2.81E+06,2.86E+06,2.83E+06,2.97E+06,2.88E+06
P14231,P14231,AT1B2_MOUSE,Atp1b2,Sodium/potassium-transporting ATPase subunit beta-2,5290.61,8299.65,7272.66,10881.1,9501.57,9518.72,11914.7,6111.07
P14246,P14246,GTR2_MOUSE,Slc2a2,"Solute carrier family 2, facilitated glucose transporter member 2",227000,271055,360026,240098,292956,291016,271204,394214
P14429,P14429;P14431,HA17_MOUSE,H2-Q7,"H-2 class I histocompatibility antigen, Q7 alpha chain",11359.2,13120.5,18916.4,11859.2,12398.8,21795.3,16741.4,17189.6
P14429;P14430,P14429;P14430,HA17_MOUSE;HA18_MOUSE,H2-Q7;H2-Q8,"H-2 class I histocompatibility antigen, Q7 alpha chain",31194.6,33093.6,33960.4,29823.8,31510.8,39458.1,34025.4,35278.2
P14434;P14438,P01910;P04228;P14434;P14435;P14436;P14437;P14438;P23150,HA2B_MOUSE;HA2U_MOUSE,H2-Aa,"H-2 class II histocompatibility antigen, A-B alpha chain",,5219.43,6463.91,5066.38,5199.7,5283,7747.28,6149.37
P14483,P14483,HB2A_MOUSE,H2-Ab1,"H-2 class II histocompatibility antigen, A beta chain",7281.92,7875.71,14284.4,13148.3,13553,20584.7,17803.7,14206.1
P14576,P14576,SRP54_MOUSE,Srp54,Signal recognition particle subunit SRP54,59757.6,68265.3,67834,68704.9,68561.1,65726.8,63075.3,67865.2
P14602,P14602,HSPB1_MOUSE,Hspb1,Heat shock protein beta-1,69070.6,51901.1,56845.3,53745.4,62115.9,54151.9,63385.2,58852.9
P14685,P14685,PSMD3_MOUSE,Psmd3,26S proteasome non-ATPase regulatory subunit 3,177058,194974,191411,190151,195294,205862,204321,193521
P14733,P14733,LMNB1_MOUSE,Lmnb1,Lamin-B1,239597,284829,291259,281716,249982,261953,243434,291381
P14733;P21619;P48678,P14733;P21619;P48678,LMNA_MOUSE;LMNB1_MOUSE;LMNB2_MOUSE,Lmna;Lmnb1;Lmnb2,Lamin-B1,165945,343668,396410,299748,294870,316614,279087,438313
P14824,P14824,ANXA6_MOUSE,Anxa6,Annexin A6,939152,1.08E+06,1.04E+06,942337,1.01E+06,1.02E+06,1.02E+06,1.07E+06
P14847,P14847,CRP_MOUSE,Crp,C-reactive protein,14914.3,11784,18011,12068.4,19372.3,14287.3,19372.1,13813.6
P14869,P14869,RLA0_MOUSE,Rplp0,Large ribosomal subunit protein uL10,629058,579486,547218,560966,568421,555701,563296,592690
P14873,P14873,MAP1B_MOUSE,Map1b,Microtubule-associated protein 1B,5489.25,9936.23,7431.15,5312.77,8580.76,6266.4,6710.51,8840.35
P14873;Q9QYR6,P14873;Q9QYR6,MAP1A_MOUSE;MAP1B_MOUSE,Map1a;Map1b,Microtubule-associated protein 1B,,,,,,3539.62,3790.25,2640.61
P14901,P14901,HMOX1_MOUSE,Hmox1,Heme oxygenase 1,43047.7,52105.8,44131.3,46703.1,38999.1,44572.2,49309.5,47547
P15105,P15105,GLNA_MOUSE,Glul,Glutamine synthetase,6.64E+06,1.14E+07,1.15E+07,8.52E+06,1.18E+07,1.13E+07,1.03E+07,1.16E+07
P15116,P15116,CADH2_MOUSE,Cdh2,Cadherin-2,82897,118126,145327,133119,97900.5,99085.1,100296,144054
P15208,P15208,INSR_MOUSE,Insr,Insulin receptor,67449,86353.7,83805.8,88242.8,75981.5,70158.8,70031.5,82403.4
P15261,P15261,INGR1_MOUSE,Ifngr1,Interferon gamma receptor 1,25235.5,18076.7,18044.1,21865.6,25591.6,25118.1,21972,18170.8
P15306,P15306,TRBM_MOUSE,Thbd,Thrombomodulin,6887.44,12209.4,16728.2,7958.76,6702.19,6165.94,6209.02,9885.37
P15307,P15307,REL_MOUSE,Rel,Proto-oncogene c-Rel,35013.5,40902.8,27880.5,35751.3,27831.8,29011.2,29761.8,27435.7
P15307;Q04207,P15307;Q04207,REL_MOUSE;TF65_MOUSE,Rel;Rela,Proto-oncogene c-Rel,133517,129555,118215,112759,126772,91496.6,98294.3,116666
P15327,P15327,PMGE_MOUSE,Bpgm,Bisphosphoglycerate mutase,294678,493147,515448,406772,521367,568695,537825,544158
P15379,P15379,CD44_MOUSE,Cd44,CD44 antigen,31055.6,26587,39445.9,32548.5,27958.7,25542.8,31291.3,35281.7
P15392,P15392,CP2A4_MOUSE,Cyp2a4,Cytochrome P450 2A4,404807,366367,390245,394802,386933,360303,385637,390373
P15392;P20852,P15392;P20852,CP2A4_MOUSE;CP2A5_MOUSE,Cyp2a4;Cyp2a5,Cytochrome P450 2A4,2.02E+06,2.15E+06,2.57E+06,2.25E+06,2.49E+06,2.34E+06,2.49E+06,2.37E+06
P15392;P20852;P56593,P15392;P20852;P56593,CP2A4_MOUSE;CP2A5_MOUSE;CP2AC_MOUSE,Cyp2a12;Cyp2a4;Cyp2a5,Cytochrome P450 2A4,540559,506628,550440,377746,1.04E+06,494513,554057,572366
P15508,P15508,SPTB1_MOUSE,Sptb,"Spectrin beta chain, erythrocytic",103439,117947,123036,111077,123641,120184,134305,116859
P15508;Q62261,P15508;Q62261,SPTB1_MOUSE;SPTB2_MOUSE,Sptb;Sptbn1,"Spectrin beta chain, erythrocytic",50181.8,83702.5,91048.7,75125.2,69749.6,88024.6,89177.9,97021.9
P15532,P15532,NDKA_MOUSE,Nme1,Nucleoside diphosphate kinase A,1.33E+06,1.61E+06,1.83E+06,1.75E+06,1.58E+06,1.75E+06,1.99E+06,1.39E+06
P15532;Q01768,P15532;Q01768,NDKA_MOUSE;NDKB_MOUSE,Nme1;Nme2,Nucleoside diphosphate kinase A,6.43E+06,7.76E+06,7.30E+06,6.66E+06,7.76E+06,7.67E+06,6.93E+06,7.33E+06
P15535,P15535,B4GT1_MOUSE,B4galt1,"Beta-1,4-galactosyltransferase 1",28391.5,36560.3,39554.7,29260.5,40203.7,35584.8,37565.7,39397.4
P15626,P15626,GSTM2_MOUSE,Gstm2,Glutathione S-transferase Mu 2,82897.9,188685,208735,138022,163170,234131,167735,196897
P15626;P19639;Q8R5I6,P15626;P19639;Q8R5I6,GSTM2_MOUSE;GSTM3_MOUSE;GSTM4_MOUSE,Gstm2;Gstm3;Gstm4,Glutathione S-transferase Mu 2,881478,1.23E+06,1.22E+06,1.00E+06,922370,1.04E+06,978283,1.16E+06
P15626;Q80W21,P15626;Q80W21,GSTM2_MOUSE;GSTM7_MOUSE,Gstm2;Gstm7,Glutathione S-transferase Mu 2,338698,264733,295294,294336,302067,287741,319035,282517
P15626;Q8R5I6,P15626;Q8R5I6,GSTM2_MOUSE;GSTM4_MOUSE,Gstm2;Gstm4,Glutathione S-transferase Mu 2,391778,424624,403870,386107,431154,316524,443716,380517
P15702,P15702,LEUK_MOUSE,Spn,Leukosialin,9612.53,10874.1,9938.91,10493.6,,4754.34,,8494.92
P15864,P15864,H12_MOUSE,H1-2,Histone H1.2,672286,702478,650011,713602,942896,818009,751984,671558
P15864;P43274,P15864;P43274;P43277;Q07133,H12_MOUSE;H14_MOUSE,H1-2;H1-4,Histone H1.2,350141,829776,985630,674592,1.00E+06,1.03E+06,881349,1.04E+06
P15864;P43274;P43275,P15864;P43274;P43275;P43277,H11_MOUSE;H12_MOUSE;H14_MOUSE,H1-1;H1-2;H1-4,Histone H1.2,142590,341119,346048,225476,453616,468247,343746,400683
P15920,P15920,VPP2_MOUSE,Atp6v0a2,V-type proton ATPase 116 kDa subunit a 2,29224.3,28942.7,27273.9,24396.9,28761.6,32261.7,30808,31200.3
P16015,P16015,CAH3_MOUSE,Ca3,Carbonic anhydrase 3,4.51E+06,5.49E+06,5.51E+06,5.11E+06,5.54E+06,6.03E+06,5.16E+06,5.55E+06
P16045,P16045,LEG1_MOUSE,Lgals1,Galectin-1,74662.6,118790,130992,104269,125094,144489,130151,135584
P16054,P16054,KPCE_MOUSE,Prkce,Protein kinase C epsilon type,18969.8,19245,12338.4,11300.7,20709.6,5213.14,11319.5,10737
P16056,P16056,MET_MOUSE,Met,Hepatocyte growth factor receptor,33234.3,32480.7,35880.2,31709.7,32110,32001.1,30557.9,34415.7
P16110,P16110,LEG3_MOUSE,Lgals3,Galectin-3,13893.6,21937.6,28352.9,19669.5,25623.1,31462.4,27631,29623.3
P16125,P16125,LDHB_MOUSE,Ldhb,L-lactate dehydrogenase B chain,127183,141454,146416,126159,152073,139470,150446,144056
P16254,P16254,SRP14_MOUSE,Srp14,Signal recognition particle 14 kDa protein,118720,124026,109510,120731,129728,109403,115977,124405
P16294,P16294,FA9_MOUSE,F9,Coagulation factor IX,154493,134268,148580,157380,175806,164409,164727,141000
P16301,P16301,LCAT_MOUSE,Lcat,Phosphatidylcholine-sterol acyltransferase,173527,210552,175758,221180,210144,199076,209747,184295
P16330,P16330,CN37_MOUSE,Cnp,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",29188.3,36382.2,38039.6,31775.4,38592.1,38175,36449.7,34389.9
P16331,P16331,PH4H_MOUSE,Pah,Phenylalanine-4-hydroxylase,2.02E+06,3.02E+06,2.96E+06,2.30E+06,2.93E+06,2.95E+06,2.73E+06,2.85E+06
P16332,P16332,MUTA_MOUSE,Mmut,"Methylmalonyl-CoA mutase, mitochondrial",268341,311417,295310,317676,304765,299470,296611,314012
P16406,P16406,AMPE_MOUSE,Enpep,Glutamyl aminopeptidase,395750,476537,528882,465866,480051,456693,482206,499128
P16460,P16460,ASSY_MOUSE,Ass1,Argininosuccinate synthase,9.96E+06,1.74E+07,1.68E+07,1.42E+07,1.74E+07,1.64E+07,1.48E+07,1.75E+07
P16546,P16546,SPTN1_MOUSE,Sptan1,"Spectrin alpha chain, non-erythrocytic 1",434512,566732,608344,542538,495260,511489,533522,610260
P16675,P16675,PPGB_MOUSE,Ctsa,Lysosomal protective protein,85833.1,132961,155804,124523,156196,195976,157671,157380
P16858,P16858,G3P_MOUSE,Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,3.56E+06,1.06E+07,7.97E+06,7.59E+06,6.20E+06,6.26E+06,7.21E+06,7.96E+06
P16882,P16882,GHR_MOUSE,Ghr,Growth hormone receptor,34811.7,34995,32404.2,33368.4,32399.8,28034.4,35005.5,34063.1
P16951,P16951,ATF2_MOUSE,Atf2,Cyclic AMP-dependent transcription factor ATF-2,8965.38,10433.3,13688.5,8245.43,18255.6,11242.1,10159.1,16171.2
P17047,P17047,LAMP2_MOUSE,Lamp2,Lysosome-associated membrane glycoprotein 2,2.02E+06,1.45E+06,1.66E+06,1.58E+06,1.69E+06,1.38E+06,1.63E+06,1.57E+06
P17095,P17095,HMGA1_MOUSE,Hmga1,High mobility group protein HMG-I/HMG-Y,155768,177202,170010,190981,184249,161198,197368,198799
P17156,P17156,HSP72_MOUSE,Hspa2,Heat shock-related 70 kDa protein 2,70758.1,72211.7,79893.2,69493.9,79744.3,60266.3,78361.8,69991.6
P17156;P20029;P63017,P16627;P17156;P17879;P20029;P63017;Q61696,BIP_MOUSE;HSP72_MOUSE;HSP7C_MOUSE,Hspa2;Hspa5;Hspa8,Heat shock-related 70 kDa protein 2,1.09E+07,1.00E+07,9.01E+06,9.69E+06,9.96E+06,7.28E+06,9.00E+06,9.28E+06
P17156;P63017,P17156;P63017,HSP72_MOUSE;HSP7C_MOUSE,Hspa2;Hspa8,Heat shock-related 70 kDa protein 2,1.70E+06,2.42E+06,2.42E+06,2.05E+06,2.51E+06,2.37E+06,2.39E+06,2.61E+06
P17182,P17182,ENOA_MOUSE,Eno1,Alpha-enolase,2.98E+06,5.95E+06,5.80E+06,4.59E+06,5.57E+06,6.04E+06,4.96E+06,6.05E+06
P17182;P21550,P17182;P17183;P21550,ENOA_MOUSE;ENOB_MOUSE,Eno1;Eno3,Alpha-enolase,37116.5,177629,185722,105629,109010,139787,155916,139433
P17208;Q63955,P17208;Q63955,PO4F1_MOUSE;PO4F3_MOUSE,Pou4f1;Pou4f3,"POU domain, class 4, transcription factor 1",217756,202726,147597,254169,126169,50945.1,118137,172514
P17225,P17225,PTBP1_MOUSE,Ptbp1,Polypyrimidine tract-binding protein 1,94211.8,142761,153731,111361,129823,152301,136831,164018
P17225;Q8BHD7,P17225;Q8BHD7,PTBP1_MOUSE;PTBP3_MOUSE,Ptbp1;Ptbp3,Polypyrimidine tract-binding protein 1,147397,168663,148825,163169,144068,140394,137874,171923
P17426,P17426,AP2A1_MOUSE,Ap2a1,AP-2 complex subunit alpha-1,113057,134314,137187,123566,135833,119143,128821,125434
P17426;P17427,P17426;P17427,AP2A1_MOUSE;AP2A2_MOUSE,Ap2a1;Ap2a2,AP-2 complex subunit alpha-1,188766,252286,216331,214067,217619,218527,187893,216219
P17427,P17427,AP2A2_MOUSE,Ap2a2,AP-2 complex subunit alpha-2,432675,489080,510113,495475,511824,488489,488833,513505
P17439,P17439,GBA1_MOUSE,Gba1,Lysosomal acid glucosylceramidase,114852,121793,131575,124026,112478,131441,121554,123212
P17563,P17563,SBP1_MOUSE,Selenbp1,Methanethiol oxidase,237682,309655,343068,296445,318285,289484,285022,340742
P17563;Q63836,P17563;Q63836,SBP1_MOUSE;SBP2_MOUSE,Selenbp1;Selenbp2,Methanethiol oxidase,1.20E+06,1.65E+06,1.78E+06,1.56E+06,1.95E+06,1.95E+06,2.07E+06,1.84E+06
P17665,P17665,COX7C_MOUSE,Cox7c,"Cytochrome c oxidase subunit 7C, mitochondrial",1.46E+06,1.19E+06,1.23E+06,1.31E+06,1.12E+06,1.21E+06,1.23E+06,1.16E+06
P17710,P17710,HXK1_MOUSE,Hk1,Hexokinase-1,105182,106945,105869,111073,105108,98887.6,106882,99065.2
P17717,P17717,UDB17_MOUSE,Ugt2b17,UDP-glucuronosyltransferase 2B17,8.02E+06,9.39E+06,9.15E+06,9.34E+06,9.42E+06,8.57E+06,9.96E+06,9.54E+06
P17717;P70691;Q62452;Q63886;Q64435;Q6ZQM8,Q62452;Q63886;Q64435;Q6ZQM8;P17717;P70691,UD11_MOUSE;UD12_MOUSE;UD16_MOUSE;UD17_MOUSE;UD19_MOUSE;UDB17_MOUSE,Ugt1a1;Ugt1a2;Ugt1a6;Ugt1a7;Ugt1a9;Ugt2b17,UDP-glucuronosyltransferase 2B17,1.71E+06,4.98E+06,5.80E+06,3.91E+06,4.85E+06,4.32E+06,4.83E+06,5.33E+06
P17742,P17742,PPIA_MOUSE,Ppia,Peptidyl-prolyl cis-trans isomerase A,1.69E+06,2.57E+06,2.46E+06,2.09E+06,2.30E+06,2.31E+06,2.53E+06,2.47E+06
P17751,P17751,TPIS_MOUSE,Tpi1,Triosephosphate isomerase,3.13E+06,6.97E+06,6.34E+06,4.43E+06,7.02E+06,6.40E+06,5.96E+06,6.85E+06
P17809,P17809,GTR1_MOUSE,Slc2a1,"Solute carrier family 2, facilitated glucose transporter member 1",5824.39,8085.65,6242.74,,8116.9,10763.4,,4267.32
P17879;Q61696,P17879;Q61696,HS71A_MOUSE;HS71B_MOUSE,Hspa1a;Hspa1b,Heat shock 70 kDa protein 1B,49774,48155.8,47145.7,47662.9,55261,51738.8,55003.7,52005.3
P17918,P17918,PCNA_MOUSE,Pcna,Proliferating cell nuclear antigen,122474,136495,132141,115478,129522,128714,131214,134237
P18052,P18052;P49446,PTPRA_MOUSE,Ptpra,Receptor-type tyrosine-protein phosphatase alpha,22257.7,23601.7,21121.4,23902.6,17698,18523.9,20575.4,16952.4
P18181,P18181,CD48_MOUSE,Cd48,CD48 antigen,15113.5,21804.7,,,14421.1,24241.9,22886.5,
P18242,P18242,CATD_MOUSE,Ctsd,Cathepsin D,1.93E+06,1.97E+06,1.91E+06,2.02E+06,1.79E+06,1.64E+06,1.77E+06,1.84E+06
P18293,P18293,ANPRA_MOUSE,Npr1,Atrial natriuretic peptide receptor 1,52624.7,47147.3,44502.2,52772.1,39168.7,27665.9,40734.3,36023.5
P18528,P18528,HVM57_MOUSE,,Ig heavy chain V region 6.96,12027.1,12585.4,13635.4,15323.9,22161.6,14406.4,24332.4,33928.5
P18572,P18572,BASI_MOUSE,Bsg,Basigin,835208,1.17E+06,1.29E+06,1.15E+06,1.07E+06,980929,1.10E+06,1.20E+06
P18581,P18581,CTR2_MOUSE,Slc7a2,Cationic amino acid transporter 2,34179.5,42679,37452.4,41570.7,38109.8,42856.9,44373.1,44072.3
P18608,P18608,HMGN1_MOUSE,Hmgn1,Non-histone chromosomal protein HMG-14,317498,372300,388165,284665,399527,304217,336947,403530
P18654,P18654,KS6A3_MOUSE,Rps6ka3,Ribosomal protein S6 kinase alpha-3,59157.5,69442.1,66686.3,47500.9,84872.2,34784.5,51339.6,46772.2
P18654;Q811L6,P18653;P18654;Q60592;Q7TPS0;Q8C0P0;Q9R1L5;Q3U214;Q811L6,KS6A3_MOUSE;MAST4_MOUSE,Mast4;Rps6ka3,Ribosomal protein S6 kinase alpha-3,37426.9,35619.3,34430.1,17173.7,37180.5,26777.5,25382.5,15489.3
P18760,P18760,COF1_MOUSE,Cfl1,Cofilin-1,2.06E+06,2.39E+06,2.37E+06,2.21E+06,2.53E+06,2.30E+06,2.56E+06,2.45E+06
P18760;P45591,P18760;P45591,COF1_MOUSE;COF2_MOUSE,Cfl1;Cfl2,Cofilin-1,3.14E+06,3.61E+06,3.21E+06,2.84E+06,3.45E+06,2.75E+06,2.68E+06,3.19E+06
P18826,P18826,KPB1_MOUSE,Phka1,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",7533.75,8586.44,5595.87,5142.26,9657.53,4702.53,4015.9,8528.48
P18828,P18828,SDC1_MOUSE,Sdc1,Syndecan-1,22680.8,29219,16819.4,16313.7,18111.4,14252.4,20374.6,22518.2
P18872,P18872,GNAO_MOUSE,Gnao1,Guanine nucleotide-binding protein G(o) subunit alpha,3740.45,9007.15,7869.16,4381.28,7431.92,9942.04,5319.19,8323.3
P19001,P08730;P19001;Q9QWL7;Q61414,K1C19_MOUSE,Krt19,"Keratin, type I cytoskeletal 19",6339.87,27530.2,15271.5,8000.61,,4824.4,6096.42,7970.95
P19096,P19096,FAS_MOUSE,Fasn,Fatty acid synthase,1.26E+06,1.69E+06,1.60E+06,1.58E+06,1.61E+06,1.69E+06,1.55E+06,1.68E+06
P19157,P19157;P46425,GSTP1_MOUSE,Gstp1,Glutathione S-transferase P 1,174166,356569,345175,301342,278535,367567,320250,364249
P19221,P19221,THRB_MOUSE,F2,Prothrombin,263944,280463,281027,262755,292213,270048,307084,268855
P19253,P19253,RL13A_MOUSE,Rpl13a,Large ribosomal subunit protein uL13,233725,288705,243849,244436,228728,247848,226217,312782
P19258,P19258,MPV17_MOUSE,Mpv17,Protein Mpv17,26566.2,43275.6,65859.3,39430.1,53181.1,76355.3,57824.3,50485.3
P19324,P19324,SERPH_MOUSE,Serpinh1,Serpin H1,5728.82,20140,19998.2,19288.8,19039.2,29246.9,20214,18481
P19426,P19426,NELFE_MOUSE,Nelfe,Negative elongation factor E,8404.68,13721.8,14848.8,15388.8,13315.1,13958.7,12251.1,16038.4
P19536,P19536,COX5B_MOUSE,Cox5b,"Cytochrome c oxidase subunit 5B, mitochondrial",1.13E+06,1.24E+06,1.34E+06,1.25E+06,1.36E+06,1.28E+06,1.43E+06,1.34E+06
P19639,P19639,GSTM3_MOUSE,Gstm3,Glutathione S-transferase Mu 3,146598,162086,162249,131237,173713,195580,158903,179238
P19783,P19783,COX41_MOUSE,Cox4i1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",1.97E+07,1.89E+07,2.01E+07,1.80E+07,1.89E+07,1.77E+07,1.80E+07,1.91E+07
P19973,P19973,LSP1_MOUSE,Lsp1,Lymphocyte-specific protein 1,19189.5,10144.6,13314.3,15668.7,7561.81,12156.9,9358.3,14780.4
P20029,P20029,BIP_MOUSE,Hspa5,Endoplasmic reticulum chaperone BiP,3.21E+06,4.87E+06,4.91E+06,4.24E+06,5.18E+06,4.67E+06,4.93E+06,4.97E+06
